2024/02/25 09:33:48 [notice] 1#1: using the "epoll" event method
2024/02/25 09:33:48 [notice] 1#1: nginx/1.24.0
2024/02/25 09:33:48 [notice] 1#1: built by gcc 12.2.1 20220924 (Alpine 12.2.1_git20220924-r4) 
2024/02/25 09:33:48 [notice] 1#1: OS: Linux 6.5.0-21-generic
2024/02/25 09:33:48 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2024/02/25 09:33:48 [notice] 1#1: start worker processes
2024/02/25 09:33:48 [notice] 1#1: start worker process 29
2024/02/25 09:33:48 [notice] 1#1: start worker process 30
2024/02/25 09:33:48 [notice] 1#1: start worker process 31
2024/02/25 09:33:48 [notice] 1#1: start worker process 32
2024/02/25 09:33:48 [notice] 1#1: start worker process 33
2024/02/25 09:33:48 [notice] 1#1: start worker process 34
2024/02/25 09:33:48 [notice] 1#1: start worker process 35
2024/02/25 09:33:48 [notice] 1#1: start worker process 36
2024/02/25 09:33:48 [notice] 1#1: start worker process 37
2024/02/25 09:33:48 [notice] 1#1: start worker process 38
2024/02/25 09:33:48 [notice] 1#1: start worker process 39
2024/02/25 09:33:48 [notice] 1#1: start worker process 40
